,Unnamed: 0,Random_Id,data,date_iso8601,event_color,event_date,event_name,formatted_date,instance_question_id,instructor_question_number,qid,question_id,student_question_number,submission_id,variant_id,variant_number
0,0,17,,2021-02-06T21:35:00-08,gray3,2021-02-07T05:35:00.888Z,Begin,2021-02-06 21:35:00 (PST),,,,,,,,
1,1,17,,2021-02-06T21:35:00-08,green1,2021-02-07T05:35:00.964Z,View assessment overview,2021-02-06 21:35:00 (PST),,,,,,,,
2,2,17,"{'params': {}, 'options': {}, 'true_answer': {}, 'variant_seed': '15xcn6c'}",2021-02-06T21:35:09-08,gray1,2021-02-07T05:35:09.869Z,New variant,2021-02-06 21:35:09 (PST),252139.0,1.0,PL-demo/DIRECTIONS,1050.0,1.0,,172304.0,1.0
3,3,17,,2021-02-06T21:35:09-08,green3,2021-02-07T05:35:09.927Z,View variant,2021-02-06 21:35:09 (PST),252139.0,1.0,PL-demo/DIRECTIONS,1050.0,1.0,,172304.0,1.0
4,4,17,,2021-02-06T21:35:12-08,green1,2021-02-07T05:35:12.142Z,View assessment overview,2021-02-06 21:35:12 (PST),,,,,,,,
5,5,17,,2021-02-06T21:35:27-08,green3,2021-02-07T05:35:27.481Z,View variant,2021-02-06 21:35:27 (PST),252139.0,1.0,PL-demo/DIRECTIONS,1050.0,1.0,,172304.0,1.0
6,6,17,"{'correct': True, 'submitted_answer': {}}",2021-02-06T21:35:55-08,blue3,2021-02-07T05:35:55.613Z,Submission,2021-02-06 21:35:55 (PST),252139.0,1.0,PL-demo/DIRECTIONS,1050.0,1.0,310812.0,172304.0,1.0
7,7,17,,2021-02-06T21:35:55-08,green3,2021-02-07T05:35:55.747Z,View variant,2021-02-06 21:35:55 (PST),252139.0,1.0,PL-demo/DIRECTIONS,1050.0,1.0,,172304.0,1.0
8,8,17,"{'params': {}, 'options': {}, 'true_answer': {}, 'variant_seed': '1kds972'}",2021-02-06T21:36:11-08,gray1,2021-02-07T05:36:11.017Z,New variant,2021-02-06 21:36:11 (PST),252140.0,2.0,PLEDGE,1046.0,2.0,,172306.0,1.0
9,9,17,,2021-02-06T21:36:11-08,green3,2021-02-07T05:36:11.059Z,View variant,2021-02-06 21:36:11 (PST),252140.0,2.0,PLEDGE,1046.0,2.0,,172306.0,1.0
10,10,17,"{'correct': None, 'submitted_answer': {'pledge': 'Sharon Vaz'}}",2021-02-06T21:36:32-08,blue3,2021-02-07T05:36:32.227Z,Submission,2021-02-06 21:36:32 (PST),252140.0,2.0,PLEDGE,1046.0,2.0,310814.0,172306.0,1.0
